power,Day,Time_of_Day,Location,Date
-101.219,5,2,0,12/02/23
-100.516,1,0,0,12/12/23
-99.745,1,2,0,12/12/23
-100.721,2,3,0,12/13/23
-78.686,2,0,0,12/13/23
-96.487,2,1,0,12/13/23
-100.984,2,2,0,12/13/23
-99.676,3,0,0,12/14/23
-101.961,3,1,0,12/14/23
-94.822,3,2,0,12/14/23
-101.282,4,3,0,12/15/23
-90.601,4,0,0,12/15/23
-100.137,4,1,0,12/15/23
-101.084,4,2,0,12/15/23
-100.144,5,0,0,12/16/23
-101.646,5,1,0,12/16/23
-99.037,5,2,0,12/16/23
-101.136,6,3,0,12/17/23
-101.622,6,0,0,12/17/23
-97.826,6,2,0,12/17/23
-101.355,0,3,0,12/18/23
-97.776,0,0,0,12/18/23
-98.322,0,1,0,12/18/23
-97.0,0,2,0,12/18/23
-99.54,1,3,0,12/19/23
-95.398,1,1,0,12/19/23
-101.17,1,2,0,12/19/23
-100.875,2,3,0,12/20/23
-94.656,2,0,0,12/20/23
-100.552,2,1,0,12/20/23
-98.667,2,2,0,12/20/23
-100.8,3,0,0,12/21/23
-101.479,4,3,0,12/22/23
-99.677,4,0,0,12/22/23
-101.838,4,1,0,12/22/23
-100.647,5,3,0,12/23/23
-101.769,5,0,0,12/23/23
-97.216,6,1,0,01/14/24
-101.605,6,2,0,01/14/24
-94.147,0,3,0,01/15/24
-101.439,0,0,0,01/15/24
-98.542,0,2,0,01/15/24
-101.108,1,3,0,01/16/24
-104.055,1,0,0,01/16/24
-98.888,1,1,0,01/16/24
-99.856,2,3,0,01/17/24
-95.987,2,0,0,01/17/24
-94.524,2,1,0,01/17/24
-101.098,2,2,0,01/17/24
-101.883,3,3,0,01/18/24
-97.086,3,0,0,01/18/24
-95.57,3,2,0,01/18/24
-101.473,4,3,0,01/19/24
-99.575,4,0,0,01/19/24
-100.904,4,1,0,01/19/24
-100.337,5,3,0,01/20/24
-100.086,5,0,0,01/20/24
-99.807,5,1,0,01/20/24
-98.76,5,2,0,01/20/24
-101.447,6,3,0,01/21/24
-99.775,6,1,0,01/21/24
-101.188,6,2,0,01/21/24
-101.826,0,3,0,01/22/24
-94.249,0,0,0,01/22/24
-98.922,0,2,0,01/22/24
-101.675,1,3,0,01/23/24
-96.964,1,0,0,01/23/24
-100.513,1,1,0,01/23/24
-98.134,1,2,0,01/23/24
-101.467,2,0,0,01/24/24
-99.176,2,1,0,01/24/24
-99.727,2,2,0,01/24/24
-98.705,3,3,0,01/25/24
-99.681,3,0,0,01/25/24
-98.658,4,1,0,01/26/24
-101.377,4,2,0,01/26/24
-99.313,5,0,0,01/27/24
-101.63,5,1,0,01/27/24
-97.252,5,2,0,01/27/24
-101.967,6,3,0,01/28/24
-101.833,6,1,0,01/28/24
-101.284,6,2,0,01/28/24
-98.461,0,3,0,01/29/24
-101.326,0,0,0,01/29/24
-96.148,0,1,0,01/29/24
-101.237,1,3,0,01/30/24
-95.414,1,0,0,01/30/24
-95.975,1,1,0,01/30/24
-99.154,1,2,0,01/30/24
-100.772,2,3,0,01/31/24
-93.267,2,1,0,01/31/24
-101.182,2,2,0,01/31/24
-101.998,3,3,0,02/01/24
-101.458,3,0,0,02/01/24
-98.195,3,2,0,02/01/24
-99.33,4,3,0,02/02/24
-100.335,4,0,0,02/02/24
-100.884,4,1,0,02/02/24
-102.041,4,2,0,02/02/24
-99.084,5,0,0,02/03/24
-101.667,5,1,0,02/03/24
-101.739,5,2,0,02/03/24
-102.268,6,3,0,02/04/24
-100.007,6,1,0,02/04/24
-101.207,6,2,0,02/04/24
-100.947,0,3,0,02/05/24
-100.803,0,0,0,02/05/24
-98.278,0,1,0,02/05/24
-99.356,0,2,0,02/05/24
-100.237,1,0,0,02/06/24
-97.526,1,1,0,02/06/24
-99.178,1,2,0,02/06/24
-101.173,2,3,0,02/07/24
-94.949,2,1,0,02/07/24
-101.843,2,2,0,02/07/24
-102.582,3,3,0,02/08/24
-102.432,3,0,0,02/08/24
-97.107,3,1,0,02/08/24
-101.622,3,2,0,02/08/24
-102.279,4,0,0,02/09/24
-98.986,4,1,0,02/09/24
-103.735,4,2,0,02/09/24
-101.559,5,3,0,02/10/24
-99.251,5,1,0,02/10/24
-99.716,5,2,0,02/10/24
-95.631,6,3,0,02/11/24
-98.473,6,0,0,02/11/24
-101.662,6,1,0,02/11/24
-102.201,0,3,0,02/12/24
-101.418,0,0,0,02/12/24
-97.794,0,1,0,02/12/24
-101.219,0,2,0,02/12/24
-99.922,1,3,0,02/13/24
-96.859,1,1,0,02/13/24
-102.738,1,2,0,02/13/24
-101.317,2,3,0,02/14/24
-94.388,2,0,0,02/14/24
-99.71,2,2,0,02/14/24
-100.616,3,3,0,02/15/24
-94.218,3,0,0,02/15/24
-94.042,3,1,0,02/15/24
-92.687,3,2,0,02/15/24
-95.69,4,0,0,02/16/24
-101.874,4,1,0,02/16/24
-97.943,4,2,0,02/16/24
-101.296,5,3,0,02/17/24
-99.76,5,1,0,02/17/24
-102.417,5,2,0,02/17/24
-100.627,6,3,0,02/18/24
-102.086,6,0,0,02/18/24
-98.907,6,1,0,02/18/24
-102.771,0,3,0,02/19/24
-101.184,0,0,0,02/19/24
-100.819,0,1,0,02/19/24
-100.51,0,2,0,02/19/24
-103.895,1,3,0,02/20/24
-97.036,1,1,0,02/20/24
-103.572,1,2,0,02/20/24
-104.338,2,3,0,02/21/24
-101.655,2,1,0,02/21/24
-104.418,3,3,0,02/22/24
-102.781,3,0,0,02/22/24
-102.35,3,1,0,02/22/24
-103.98,3,2,0,02/22/24
-103.963,4,3,0,02/23/24
-101.493,4,0,0,02/23/24
-100.979,4,2,0,02/23/24
-104.046,5,3,0,02/24/24
-103.401,5,0,0,02/24/24
-101.403,5,1,0,02/24/24
-104.369,5,2,0,02/24/24
-104.167,6,0,0,02/25/24
-104.355,6,1,0,02/25/24
-100.947,6,2,0,02/25/24
-104.489,0,3,0,02/26/24
-99.727,0,0,0,02/26/24
-96.922,0,2,0,02/26/24
-104.405,1,3,0,02/27/24
-95.906,1,0,0,02/27/24
-101.25,1,1,0,02/27/24
-103.712,1,2,0,02/27/24
-95.462,2,3,0,02/28/24
-101.558,2,1,0,02/28/24
-104.534,2,2,0,02/28/24
-104.714,3,3,0,02/29/24
-97.844,3,0,0,02/29/24
-103.262,3,1,0,02/29/24
-102.318,4,3,0,03/01/24
-98.122,4,0,0,03/01/24
-101.688,4,1,0,03/01/24
-104.19,4,2,0,03/01/24
-101.38,5,3,0,03/02/24
-98.424,5,0,0,03/02/24
-101.067,5,2,0,03/02/24
-99.534,6,3,0,03/03/24
-103.384,6,0,0,03/03/24
-102.059,6,1,0,03/03/24
-104.082,6,2,0,03/03/24
