pres,power
993,-99.99158729941698
994,-100.3751903053623
995,-100.66269339573726
996,-100.9336240015256
997,-99.13155285116906
998,-99.67799694081292
999,-99.12214538268812
1000,-99.41865437403091
1001,-99.08561932069118
1002,-99.28988439822771
1003,-98.9949772831561
1004,-99.49246236348407
1005,-99.59011275932453
1006,-99.26131317131725
1007,-99.44368550931455
1008,-99.4319049597199
1009,-99.33000762746313
1010,-99.18945308526874
1011,-99.34683622065344
1012,-99.07050227384597
1013,-99.30966391974293
1014,-98.91436234612395
1015,-99.24455761738896
1016,-98.95506525265804
1017,-98.8437215210322
1018,-98.69884877296701
1019,-98.85907354654738
1020,-98.64232986509973
1021,-98.54743283333629
1022,-98.46239978466178
1023,-98.10618138690145
1024,-98.07545331005252
1025,-98.00297689229303
1026,-97.96808190990214
1027,-98.26678471894684
1028,-97.70929334822017
1029,-97.51305852964369
1030,-97.6706459920511
1031,-97.64391498748473
1032,-97.86075137319575
1033,-99.01631713645635
1034,-97.90533900672575
1035,-96.48626412798902
1036,-97.51682145507925
1037,-96.44903213856402
1038,-97.71999694225576
1040,-96.17383514001094
1041,-97.43643127687014
