temp,power
-9,-95.90311298951092
-7,-96.26350018623556
-6,-97.08733680324626
-5,-96.61397730860949
-4,-97.12691673961528
-3,-96.99077861176457
-2,-97.13938892670132
-1,-97.21568450388487
0,-97.19036540158768
1,-97.33674921889543
2,-97.32111173810571
3,-97.25534349805544
4,-97.35855824768772
5,-97.04988328535964
6,-97.13111621687759
7,-97.23744601776761
8,-97.34723245200824
9,-97.36110397174703
10,-97.49908102535736
11,-97.29520869682159
12,-97.4460849432851
13,-97.39890911332925
14,-97.56728594569188
15,-97.77277354463205
16,-97.5837692710591
17,-97.68799758181129
18,-97.84710875592391
19,-97.9821224016753
20,-98.1315804669822
21,-98.09772759859031
22,-98.57571803256101
23,-98.44233963697523
24,-98.05505295139092
25,-98.28482535641976
26,-98.28296954819847
27,-98.40000634161281
28,-98.47049061810782
29,-98.48259757802231
30,-98.22021847600894
31,-98.39469101030726
32,-98.74608955143343
33,-98.44032532471657
34,-98.35461521393559
35,-98.63164666991607
36,-98.71784217821751
37,-98.51623375173669
38,-98.62027487432513
39,-98.5500752746286
